Date,Team 1,Team 2,Venue,Result,Top_Scorer,Top_Score
31/05/2026,Royal Challengers Bengaluru,Gujarat Titans,Narendra Modi Stadium (Ahmedabad),Royal Challengers Bengaluru won by 5 wickets,Virat Kohli,75
26/05/2026,Royal Challengers Bengaluru,Gujarat Titans,Himachal Pradesh Cricket Association Stadium (Dharamsala),Royal Challengers Bengaluru won by 92 runs,Rajat Patidar*,93
22/05/2026,Royal Challengers Bengaluru,Sunrisers Hyderabad,Rajiv Gandhi International Stadium (Hyderabad),Sunrisers Hyderabad won by 55 runs,Ishan Kishan†,79
17/05/2026,Royal Challengers Bengaluru,Punjab Kings,Himachal Pradesh Cricket Association Stadium (Dharamsala),Royal Challengers Bengaluru won by 23 runs,Venkatesh Iyer,73
13/05/2026,Royal Challengers Bengaluru,Kolkata Knight Riders,Shaheed Veer Narayan Sing International Stadium (Raipur),Royal Challengers Bengaluru won by 6 wickets,Virat Kohli,105
10/05/2026,Royal Challengers Bengaluru,Mumbai Indians,Shaheed Veer Narayan Sing International Stadium (Raipur),Royal Challengers Bengaluru won by 2 wickets,Krunal Pandya,73
07/05/2026,Royal Challengers Bengaluru,Lucknow Super Giants,BRSABV Ekana Cricket Stadium (Lucknow),Lucknow Super Giants won by 9 runs [D/L],Mitchell Marsh,111
30/04/2026,Royal Challengers Bengaluru,Gujarat Titans,Narendra Modi Stadium (Ahmedabad),Gujarat Titans won by 4 wickets,Shubman Gill*,43
27/04/2026,Royal Challengers Bengaluru,Delhi Capitals,Arun Jaitley Stadium (Delhi),Royal Challengers Bengaluru won by 9 wickets,Devdutt  Padikkal,34
24/04/2026,Royal Challengers Bengaluru,Gujarat Titans,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru won by 5 wickets,Sai Sudharsan,100
31/05/2026,Gujarat Titans,Royal Challengers Bengaluru,Narendra Modi Stadium (Ahmedabad),Royal Challengers Bengaluru won by 5 wickets,Virat Kohli,75
29/05/2026,Gujarat Titans,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St (New Chandigarh),Gujarat Titans won by 7 wickets,Shubman Gill*,104
26/05/2026,Gujarat Titans,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium (Dharamsala),Royal Challengers Bengaluru won by 92 runs,Rajat Patidar*,93
21/05/2026,Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium (Ahmedabad),Gujarat Titans won by 89 runs,Sai Sudharsan,84
16/05/2026,Gujarat Titans,Kolkata Knight Riders,Eden Gardens (Kolkata),Kolkata Knight Riders won by 29 runs,Finn Allen,93
12/05/2026,Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium (Ahmedabad),Gujarat Titans won by 82 runs,Sai Sudharsan,61
09/05/2026,Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium (Jaipur),Gujarat Titans won by 77 runs,Shubman Gill*,84
03/05/2026,Gujarat Titans,Punjab Kings,Narendra Modi Stadium (Ahmedabad),Gujarat Titans won by 4 wickets,Suryansh Shedge,57
30/04/2026,Gujarat Titans,Royal Challengers Bengaluru,Narendra Modi Stadium (Ahmedabad),Gujarat Titans won by 4 wickets,Shubman Gill*,43
26/04/2026,Gujarat Titans,Chennai Super Kings,MA Chidambaram Stadium (Chennai),Gujarat Titans won by 8 wickets,Sai Sudharsan,87
